cycle,core_id,sched_id,warp_id,age,warp_id_feat,cta_id,stream_id_hash,inst_in_pipeline,inst_in_buffer,issued_inst_in_pipeline,stores_outstanding,completed_threads,active_thread_count,completion_ratio,inst_miss,membar_waiting,n_atomic,stores_done,done_exit,last_fetch_age,waiting_status,scoreboard_stall,pipeline_stall_ratio,age_squared,age_pipeline_interaction,ibuffer_empty,score,recent_ipc
14386,7,3,3,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,1.0000,4.141000,18.148200
14386,7,3,7,7.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.0000,0.0000,1.0000,3.901000,18.148200
14387,7,3,3,3.0000,3.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,9.0000,6.0000,0.0000,4.501000,18.148200
14387,7,3,7,7.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.0000,0.0000,1.0000,3.901000,18.148200
14388,7,3,3,3.0000,3.0000,0.0000,0.0000,2.0000,1.0000,1.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.5000,9.0000,6.0000,0.0000,2.531000,18.148200
14388,7,3,7,7.0000,7.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,49.0000,14.0000,0.0000,4.341000,18.148200
14389,7,3,3,3.0000,3.0000,0.0000,0.0000,2.0000,1.0000,1.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.5000,9.0000,6.0000,0.0000,2.531000,18.148200
14389,7,3,7,7.0000,7.0000,0.0000,0.0000,2.0000,1.0000,1.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.5000,49.0000,14.0000,0.0000,2.371000,18.148200
14390,7,3,3,3.0000,3.0000,0.0000,0.0000,4.0000,2.0000,2.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.5000,9.0000,12.0000,0.0000,2.921000,18.148200
14390,7,3,7,7.0000,7.0000,0.0000,0.0000,2.0000,1.0000,1.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.5000,49.0000,14.0000,0.0000,2.371000,18.148200
14391,7,3,3,3.0000,3.0000,0.0000,0.0000,4.0000,1.0000,3.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.2500,9.0000,12.0000,0.0000,3.201000,18.148200
14391,7,3,7,7.0000,7.0000,0.0000,0.0000,2.0000,1.0000,1.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.5000,49.0000,14.0000,0.0000,2.371000,18.148200
14392,7,3,3,3.0000,3.0000,0.0000,0.0000,6.0000,2.0000,4.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.3333,9.0000,18.0000,0.0000,3.507667,18.148200
14392,7,3,7,7.0000,7.0000,0.0000,0.0000,2.0000,1.0000,1.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.5000,49.0000,14.0000,0.0000,2.371000,18.148200
14393,7,3,3,3.0000,3.0000,0.0000,0.0000,6.0000,1.0000,5.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.1667,9.0000,18.0000,0.0000,3.704333,18.148200
14393,7,3,7,7.0000,7.0000,0.0000,0.0000,2.0000,1.0000,1.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.5000,49.0000,14.0000,0.0000,2.371000,18.148200
14394,7,3,3,3.0000,3.0000,0.0000,0.0000,5.0000,1.0000,4.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.2000,9.0000,15.0000,0.0000,3.461000,18.148200
14394,7,3,7,7.0000,7.0000,0.0000,0.0000,2.0000,1.0000,1.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.5000,49.0000,14.0000,0.0000,2.371000,18.148200
